1.50;0.00;Circle
1.50;0.09;Circle
1.49;0.19;Circle
1.47;0.28;Circle
1.45;0.37;Circle
1.43;0.46;Circle
1.39;0.55;Circle
1.36;0.64;Circle
1.31;0.72;Circle
1.27;0.80;Circle
1.21;0.88;Circle
1.16;0.96;Circle
1.09;1.03;Circle
1.03;1.09;Circle
0.96;1.16;Circle
0.88;1.21;Circle
0.80;1.27;Circle
0.72;1.31;Circle
0.64;1.36;Circle
0.55;1.39;Circle
0.46;1.43;Circle
0.37;1.45;Circle
0.28;1.47;Circle
0.19;1.49;Circle
0.09;1.50;Circle
-0.00;1.50;Circle
-0.09;1.50;Circle
-0.19;1.49;Circle
-0.28;1.47;Circle
-0.37;1.45;Circle
-0.46;1.43;Circle
-0.55;1.39;Circle
-0.64;1.36;Circle
-0.72;1.31;Circle
-0.80;1.27;Circle
-0.88;1.21;Circle
-0.96;1.16;Circle
-1.03;1.09;Circle
-1.09;1.03;Circle
-1.16;0.96;Circle
-1.21;0.88;Circle
-1.27;0.80;Circle
-1.31;0.72;Circle
-1.36;0.64;Circle
-1.39;0.55;Circle
-1.43;0.46;Circle
-1.45;0.37;Circle
-1.47;0.28;Circle
-1.49;0.19;Circle
-1.50;0.09;Circle
-1.50;-0.00;Circle
-1.50;-0.09;Circle
-1.49;-0.19;Circle
-1.47;-0.28;Circle
-1.45;-0.37;Circle
-1.43;-0.46;Circle
-1.39;-0.55;Circle
-1.36;-0.64;Circle
-1.31;-0.72;Circle
-1.27;-0.80;Circle
-1.21;-0.88;Circle
-1.16;-0.96;Circle
-1.09;-1.03;Circle
-1.03;-1.09;Circle
-0.96;-1.16;Circle
-0.88;-1.21;Circle
-0.80;-1.27;Circle
-0.72;-1.31;Circle
-0.64;-1.36;Circle
-0.55;-1.39;Circle
-0.46;-1.43;Circle
-0.37;-1.45;Circle
-0.28;-1.47;Circle
-0.19;-1.49;Circle
-0.09;-1.50;Circle
0.00;-1.50;Circle
0.09;-1.50;Circle
0.19;-1.49;Circle
0.28;-1.47;Circle
0.37;-1.45;Circle
0.46;-1.43;Circle
0.55;-1.39;Circle
0.64;-1.36;Circle
0.72;-1.31;Circle
0.80;-1.27;Circle
0.88;-1.21;Circle
0.96;-1.16;Circle
1.03;-1.09;Circle
1.09;-1.03;Circle
1.16;-0.96;Circle
1.21;-0.88;Circle
1.27;-0.80;Circle
1.31;-0.72;Circle
1.36;-0.64;Circle
1.39;-0.55;Circle
1.43;-0.46;Circle
1.45;-0.37;Circle
1.47;-0.28;Circle
1.49;-0.19;Circle
1.50;-0.09;Circle
0.00;1.50;Line
1.50;0.00;Line
